# eta lambda l= m to 9 (computed with gyre.eval_lambda)
1.72000 4.5783944713e+00 1.6397307187e+01 4.2645574273e+01 8.7564027083e+01 1.5295026780e+02 2.3943672604e+02 3.4725326838e+02 4.7649290822e+02
1.74000 4.5725867574e+00 1.6520818500e+01 4.3292784332e+01 8.9283054459e+01 1.5631492909e+02 2.4501614715e+02 3.5561158643e+02 4.8819144993e+02
1.76000 4.5668798589e+00 1.6645661450e+01 4.3948855197e+01 9.1025485286e+01 1.5972334277e+02 2.5066532450e+02 3.6407149101e+02 5.0002938378e+02
1.78000 4.5612715057e+00 1.6771824215e+01 4.4613728866e+01 9.2791150813e+01 1.6317523738e+02 2.5638392809e+02 3.7263263549e+02 5.1200637922e+02
1.80000 4.5557594871e+00 1.6899295101e+01 4.5287348861e+01 9.4579891644e+01 1.6667036113e+02 2.6217165530e+02 3.8129470466e+02 5.2412213803e+02
1.82000 4.5503416501e+00 1.7028062552e+01 4.5969660299e+01 9.6391557281e+01 1.7020848033e+02 2.6802822825e+02 3.9005741144e+02 5.3637639063e+02
1.84000 4.5450158976e+00 1.7158115160e+01 4.6660609939e+01 9.8226005665e+01 1.7378937791e+02 2.7395339146e+02 3.9892049389e+02 5.4876889288e+02
1.86000 4.5397801868e+00 1.7289441675e+01 4.7360146220e+01 1.0008310273e+02 1.7741285213e+02 2.7994690974e+02 4.0788371263e+02 5.6129942324e+02
1.88000 4.5346325277e+00 1.7422031014e+01 4.8068219272e+01 1.0196272194e+02 1.8107871530e+02 2.8600856628e+02 4.1694684855e+02 5.7396778034e+02
1.90000 4.5295709817e+00 1.7555872267e+01 4.8784780925e+01 1.0386474390e+02 1.8478679270e+02 2.9213816100e+02 4.2610970077e+02 5.8677378079e+02
1.92000 4.5245936599e+00 1.7690954704e+01 4.9509784699e+01 1.0578905592e+02 1.8853692154e+02 2.9833550899e+02 4.3537208486e+02 5.9971725733e+02
1.94000 4.5196987217e+00 1.7827267783e+01 5.0243185785e+01 1.0773555160e+02 1.9232895003e+02 3.0460043918e+02 4.4473383124e+02 6.1279805711e+02
1.96000 4.5148843739e+00 1.7964801153e+01 5.0984941026e+01 1.0970413049e+02 1.9616273649e+02 3.1093279311e+02 4.5419478373e+02 6.2601604028e+02
1.98000 4.5101488685e+00 1.8103544659e+01 5.1735008882e+01 1.1169469775e+02 2.0003814862e+02 3.1733242381e+02 4.6375479832e+02 6.3937107863e+02
2.00000 4.5054905022e+00 1.8243488347e+01 5.2493349393e+01 1.1370716373e+02 2.0395506271e+02 3.2379919482e+02 4.7341374205e+02 6.5286305446e+02
2.02000 4.5009076148e+00 1.8384622463e+01 5.3259924141e+01 1.1574144375e+02 2.0791336303e+02 3.3033297930e+02 4.8317149194e+02 6.6649185960e+02
2.04000 4.4963985880e+00 1.8526937457e+01 5.4034696208e+01 1.1779745775e+02 2.1191294123e+02 3.3693365923e+02 4.9302793417e+02 6.8025739443e+02
2.06000 4.4919618442e+00 1.8670423988e+01 5.4817630126e+01 1.1987512999e+02 2.1595369575e+02 3.4360112463e+02 5.0298296320e+02 6.9415956712e+02
2.08000 4.4875958456e+00 1.8815072919e+01 5.5608691834e+01 1.2197438883e+02 2.2003553135e+02 3.5033527298e+02 5.1303648109e+02 7.0819829289e+02
2.10000 4.4832990927e+00 1.8960875320e+01 5.6407848630e+01 1.2409516646e+02 2.2415835863e+02 3.5713600853e+02 5.2318839682e+02 7.2237349337e+02
2.12000 4.4790701237e+00 1.9107822469e+01 5.7215069120e+01 1.2623739867e+02 2.2832209360e+02 3.6400324184e+02 5.3343862572e+02 7.3668509604e+02
2.14000 4.4749075129e+00 1.9255905849e+01 5.8030323171e+01 1.2840102462e+02 2.3252665733e+02 3.7093688924e+02 5.4378708890e+02 7.5113303366e+02
2.16000 4.4708098703e+00 1.9405117148e+01 5.8853581865e+01 1.3058598666e+02 2.3677197551e+02 3.7793687236e+02 5.5423371284e+02 7.6571724388e+02
2.18000 4.4667758401e+00 1.9555448258e+01 5.9684817450e+01 1.3279223010e+02 2.4105797821e+02 3.8500311778e+02 5.6477842888e+02 7.8043766873e+02
2.20000 4.4628041002e+00 1.9706891271e+01 6.0524003293e+01 1.3501970308e+02 2.4538459952e+02 3.9213555662e+02 5.7542117289e+02 7.9529425435e+02
